as_of,calculation_version,component_reconciliation_pass_10d,component_reconciliation_pass_1d,component_reconciliation_pass_20d,component_reconciliation_pass_5d,daily_avg_price,data_quality,dealer_consecutive_buy_days,dealer_consecutive_sell_days,dealer_flow_acceleration,dealer_net_10d,dealer_net_1d,dealer_net_20d,dealer_net_5d,duplicate_stock_id,flow_price_alignment_20d,flow_price_alignment_5d,flow_price_divergence_20d,flow_price_divergence_5d,foreign_buy_rank_10d,foreign_buy_rank_1d,foreign_buy_rank_20d,foreign_buy_rank_5d,foreign_consecutive_buy_days,foreign_consecutive_sell_days,foreign_flow_acceleration,foreign_net_10d,foreign_net_1d,foreign_net_20d,foreign_net_3d,foreign_net_5d,foreign_net_pct_volume,foreign_sell_rank_10d,foreign_sell_rank_1d,foreign_sell_rank_20d,foreign_sell_rank_5d,inst_10d_avg_buy_cost,inst_10d_buy_amount,inst_10d_buy_shares,inst_10d_cost_estimate_definition,inst_10d_sell_shares,inst_20d_avg_buy_cost,inst_20d_buy_amount,inst_20d_buy_shares,inst_20d_cost_estimate_definition,inst_20d_sell_shares,inst_5d_avg_buy_cost,inst_5d_buy_amount,inst_5d_buy_shares,inst_5d_cost_estimate_definition,inst_5d_sell_shares,inst_acceleration,inst_cost_position,inst_flow_amount_10d,inst_flow_amount_1d,inst_flow_amount_20d,inst_flow_amount_3d,inst_flow_amount_5d,inst_flow_amount_percentile_20d,inst_flow_amount_percentile_5d,inst_flow_amount_rank_20d,inst_flow_amount_rank_5d,inst_flow_trend,inst_net_10d_shares,inst_net_1d_shares,inst_net_20d_shares,inst_net_3d_shares,inst_net_5d_shares,inst_net_pct_turnover_20d,inst_net_pct_turnover_5d,inst_net_pct_volume_20d,inst_net_pct_volume_5d,institutional_age_days,institutional_buy_rank_10d,institutional_buy_rank_1d,institutional_buy_rank_20d,institutional_buy_rank_5d,institutional_component_reconciliation_10d,institutional_component_reconciliation_1d,institutional_component_reconciliation_20d,institutional_component_reconciliation_5d,institutional_consecutive_buy_days,institutional_consecutive_sell_days,institutional_flow_acceleration,institutional_flow_grade,institutional_generated_at,institutional_net_10d,institutional_net_1d,institutional_net_20d,institutional_net_3d,institutional_net_5d,institutional_net_pct_volume,institutional_sell_rank_10d,institutional_sell_rank_1d,institutional_sell_rank_20d,institutional_sell_rank_5d,institutional_stale,market,market_data_quality,mixed_snapshot,name,price_response_to_flow,price_return_20d,price_return_5d,price_vs_inst_10d_cost_pct,price_vs_inst_20d_cost_pct,price_vs_inst_5d_cost_pct,rank_universe,rank_universe_count,reference_close,row_count,security_type,security_type_source,source,stock_id,stock_name,symbol,trust_buy_rank_10d,trust_buy_rank_1d,trust_buy_rank_20d,trust_buy_rank_5d,trust_consecutive_buy_days,trust_consecutive_sell_days,trust_flow_acceleration,trust_net_10d,trust_net_1d,trust_net_20d,trust_net_3d,trust_net_5d,trust_net_pct_volume,trust_sell_rank_10d,trust_sell_rank_1d,trust_sell_rank_20d,trust_sell_rank_5d
2026-09-15,institutional_features_v2,False,True,False,True,14.51500660311956,GOOD,0,3,-5862756.0,-23259880.0,-7949091.0,-21801484.0,-14561318.0,False,SELL_WITH_PRICE_DOWN,SELL_WITH_PRICE_DOWN,NONE,NONE,,,,,0,4,-32762185.0,-20777755.0,-8927261.0,6887891.0,-25482791.0,-26769970.0,-29.50781985597749,,,,,15.238375344814816,471725105.3788473,30956391.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,89523645.0,15.115111639670983,1786047858.7002525,118163061.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,143493745.0,15.173748874127392,77869038.98971768,5131826.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,46463114.0,ACCELERATING,BELOW_20D_COST,-859523802.0148113,-244960360.71657,-322004935.8222145,-648923574.2856622,-602181194.1100976,,,,,PERSISTENT_SELL,-58567254.0,-16876352.0,-25330684.0,-44379343.0,-41331288.0,-3.1293586600665666,-28.06834401732286,-3.652676605677892,-28.425888157870304,0,,,,,-14529619.0,0.0,-10417091.0,0.0,0,4,-24095322.0,UNKNOWN,2026-09-15T08:30:17.526921+00:00,-58567254.0,-16876352.0,-25330684.0,-44379343.0,-41331288.0,-55.782434796301516,,,,,False,TSE,GOOD,False,主動國泰動能高息,UNKNOWN,-0.6202618883528577,-4.249667994687922,-5.370489479990958,-4.59878601125644,-4.967453200788119,TSE_COMMONSTOCK,1082,14.42,1329,ETF,TWSE_ISIN_C_PUBLIC,TWSE_T86,00400A,主動國泰動能高息,00400A,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-09-15,institutional_features_v2,False,True,False,True,13.809524413366052,GOOD,0,6,-11237694.0,-20671668.0,-493895.0,-30592893.0,-15954681.0,False,SELL_WITH_PRICE_UP,SELL_WITH_PRICE_DOWN,FLOW_PRICE_DIVERGENCE,NONE,,,,,0,4,-870700.0,-4258600.0,-369000.0,10365400.0,-1591000.0,-2564650.0,-9.358347087651953,,,,,14.084967969594887,9100227.380315408,646095.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,26508185.0,13.80229467595006,115235151.2150869,8348985.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,29666061.0,,,0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,18519331.0,ACCELERATING,NEAR_20D_COST,-365798818.5923472,-11916169.5686715,-301659325.093775,-157704894.1148455,-261335696.68627524,,,,,PERSISTENT_SELL,-25862090.0,-862895.0,-21317076.0,-11274402.0,-18519331.0,-17.294377490632634,-51.81076545321874,-16.905821018155052,-51.690346557217616,0,,,,,-931822.0,0.0,-1089583.0,0.0,0,7,-11176572.0,UNKNOWN,2026-09-15T08:30:17.526921+00:00,-25862090.0,-862895.0,-21317076.0,-11274402.0,-18519331.0,-21.884203008670546,,,,,False,TSE,GOOD,False,主動摩根台灣鑫收,UNKNOWN,3.7707390648567207,-3.977669225401259,-2.307197079158385,-0.3064322052459656,,TSE_COMMONSTOCK,1082,13.76,1329,ETF,TWSE_ISIN_C_PUBLIC,TWSE_T86,00401A,主動摩根台灣鑫收,00401A,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-09-15,institutional_features_v2,False,True,False,True,9.425670686127917,GOOD,8,0,4000381.0,10276169.0,2880049.0,7316854.0,7138275.0,False,BUY_WITH_PRICE_DOWN,BUY_WITH_PRICE_DOWN,FLOW_PRICE_DIVERGENCE,FLOW_PRICE_DIVERGENCE,,,,,1,0,880401.0,2751599.0,298000.0,184407.0,270000.0,1816000.0,7.096388723981198,,,,,9.480501263257795,153222031.68002868,16161807.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,2370103.0,9.484571925331291,160912857.17304552,16965748.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,8517597.0,9.467198552110634,84771899.31520045,8954275.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,0,ACCELERATING,NEAR_20D_COST,131049583.85606201,29955243.298378143,80200224.32040377,56543795.14033821,84771899.31520045,,,,,PERSISTENT_BUY,13791704.0,3178049.0,8448151.0,5995490.0,8954275.0,12.392942574017415,48.522124757587534,12.416053334931558,48.560802667952906,0,,,,,763936.0,0.0,946890.0,0.0,9,0,4116846.0,UNKNOWN,2026-09-15T08:30:17.526921+00:00,13791704.0,3178049.0,8448151.0,5995490.0,8954275.0,75.68010432167692,,,,,False,TSE,GOOD,False,主動安聯美國科技,UNKNOWN,-2.4896265560165998,-1.364113326337868,-0.8491245454476215,-0.8916788864810843,-0.7098039799287026,TSE_COMMONSTOCK,1082,9.4,1329,ETF,TWSE_ISIN_C_PUBLIC,TWSE_T86,00402A,主動安聯美國科技,00402A,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-09-15,institutional_features_v2,False,True,False,True,10.009848920541849,GOOD,0,1,-114571939.0,292032471.0,-49311619.0,735875510.0,88730266.0,False,BUY_WITH_PRICE_DOWN,BUY_WITH_PRICE_DOWN,FLOW_PRICE_DIVERGENCE,FLOW_PRICE_DIVERGENCE,,,,,0,4,-116981994.0,142078690.0,-9061406.0,646203057.0,-52996029.0,12548348.0,-6.962860172691328,,,,,10.374948012527648,5464989994.293446,526748663.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,116795019.0,10.34831242501119,17257638739.38823,1667676625.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,283521015.0,10.386423804036998,1957396929.7618942,188457256.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,87178642.0,DECELERATING,BELOW_20D_COST,4287940006.4634757,-584305161.2850124,14434708801.255836,-875369256.7853177,1082027672.9765768,,,,,SHORT_TERM_SELL,409953644.0,-58373025.0,1384155610.0,-87178642.0,101278614.0,36.82012778062607,15.26940977963742,36.05386776665167,14.56637500073926,0,,,,,-24157517.0,0.0,2077043.0,0.0,0,3,-207396416.0,UNKNOWN,2026-09-15T08:30:17.526921+00:00,409953644.0,-58373025.0,1384155610.0,-87178642.0,101278614.0,-44.85432072373925,,,,,False,TSE,GOOD,False,主動統一升級50,UNKNOWN,-0.20060180541626726,-3.8647342995169143,-4.095904982025244,-3.8490568186605567,-4.201867863964582,TSE_COMMONSTOCK,1082,9.95,1329,ETF,TWSE_ISIN_C_PUBLIC,TWSE_T86,00403A,主動統一升級50,00403A,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-09-15,institutional_features_v2,False,True,False,True,9.752497135775874,GOOD,0,6,-57518856.0,-103313724.0,-24495531.0,-96821963.0,-80416290.0,False,SELL_WITH_PRICE_UP,SELL_WITH_PRICE_DOWN,FLOW_PRICE_DIVERGENCE,NONE,,,,,0,1,5946991.0,-6850949.0,-989989.0,-6158849.0,-1400979.0,-451979.0,-3.299933523933834,,,,,10.009836671229982,48227102.79672258,4817971.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,121433705.0,9.839735483513786,131076041.31102261,13321094.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,122597025.0,,,0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,80868269.0,ACCELERATING,NEAR_20D_COST,-1149010639.5728981,-248547460.80375874,-1077077291.2129018,-596856278.9611502,-794465338.5962746,,,,,PERSISTENT_SELL,-116615734.0,-25485520.0,-109275931.0,-61053378.0,-80868269.0,-40.83335302461295,-64.78771676498087,-40.7320982387889,-64.99166610911834,0,,,,,-6451061.0,0.0,-6295119.0,0.0,0,6,-45120804.0,UNKNOWN,2026-09-15T08:30:17.526921+00:00,-116615734.0,-25485520.0,-109275931.0,-61053378.0,-80868269.0,-84.95096594294098,,,,,False,TSE,GOOD,False,主動聯博動能50,UNKNOWN,3.2943676939426236,-2.9940119760478945,-2.895518485961135,-1.216856730695648,,TSE_COMMONSTOCK,1082,9.72,1329,ETF,TWSE_ISIN_C_PUBLIC,TWSE_T86,00404A,主動聯博動能50,00404A,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-09-15,institutional_features_v2,False,True,False,True,8.414058056744445,GOOD,0,1,-30648371.0,63372749.0,-16642265.0,238322285.0,16362189.0,False,BUY_WITH_PRICE_DOWN,BUY_WITH_PRICE_DOWN,FLOW_PRICE_DIVERGENCE,FLOW_PRICE_DIVERGENCE,,,,,0,4,-26680070.0,6072070.0,-4529390.0,39211982.0,-10143160.0,-10304000.0,-9.220525349212851,,,,,8.800714272836798,968671729.3533226,110067399.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,35133739.0,8.740699152484668,3128105312.323374,357878158.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,51706993.0,8.78421932373251,361838929.91939825,41191928.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,35133739.0,DECELERATING,BELOW_20D_COST,670921469.6096854,-178139534.3273638,2693850797.7719965,-240831795.31675133,64088670.17576101,,,,,SHORT_TERM_SELL,74933660.0,-21171655.0,306171165.0,-28448631.0,6058189.0,25.4319803908042,3.304870182596603,24.937174149497604,2.6936952933856437,0,,,,,5488841.0,0.0,28636898.0,0.0,0,1,-62817282.0,UNKNOWN,2026-09-15T08:30:17.526921+00:00,74933660.0,-21171655.0,306171165.0,-28448631.0,6058189.0,-43.0993536905166,,,,,False,TSE,GOOD,False,主動富邦台灣龍耀,UNKNOWN,-1.7709563164108655,-5.239179954441909,-5.462218837401767,-4.813106424845637,-5.284696415517742,TSE_COMMONSTOCK,1082,8.32,1329,ETF,TWSE_ISIN_C_PUBLIC,TWSE_T86,00405A,主動富邦台灣龍耀,00405A,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-09-15,institutional_features_v2,False,True,False,True,9.328340107539724,GOOD,0,6,-274481751.0,-789957491.0,-140452628.0,-1696220715.0,-532219621.0,False,SELL_WITH_PRICE_DOWN,SELL_WITH_PRICE_DOWN,NONE,NONE,,,,,0,4,-81377391.0,-79360961.0,-3620950.0,-28555904.0,-62243576.0,-80369176.0,-2.0957666653574454,,,,,9.709115388855306,238187630.51032302,24532372.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,1032336822.0,9.709115388855306,238187630.51032302,24532372.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,2132853932.0,,,0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,612588797.0,ACCELERATING,BELOW_20D_COST,-9568749095.018791,-1343967336.0941527,-20069236123.316727,-4696708333.18226,-5770466513.923175,,,,,PERSISTENT_SELL,-1007804450.0,-144073578.0,-2108321560.0,-500589509.0,-612588797.0,-53.02766529231203,-68.59762912758696,-53.29104136718019,-68.81002572816396,0,,,,,-138485998.0,0.0,-383544941.0,0.0,0,6,-217373144.0,UNKNOWN,2026-09-15T08:30:17.526921+00:00,-1007804450.0,-144073578.0,-2108321560.0,-500589509.0,-612588797.0,-83.38822743511393,,,,,False,TSE,GOOD,False,主動中信台灣收益,UNKNOWN,-2.3157894736842155,-3.9337474120082927,-4.419716644297688,-4.419716644297688,,TSE_COMMONSTOCK,1082,9.28,1329,ETF,TWSE_ISIN_C_PUBLIC,TWSE_T86,00406A,主動中信台灣收益,00406A,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-09-15,institutional_features_v2,False,True,False,True,9.350295386518438,GOOD,0,1,-1472278.0,31733340.0,-6356699.0,192863711.0,15130531.0,False,BUY_WITH_PRICE_DOWN,SELL_WITH_PRICE_DOWN,FLOW_PRICE_DIVERGENCE,NONE,,,,,0,5,-8919084.0,-27768938.0,-4801906.0,24952434.0,-15616111.0,-18344011.0,-22.306909410109128,,,,,9.785969718659839,570821348.2676835,58330586.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,59336998.0,9.86726117779518,2990361358.0243564,303058904.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,92913067.0,9.758407999601564,237987966.46861094,24387991.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,27601471.0,REVERSING,BELOW_20D_COST,1368638.1634130254,-104336252.85148157,2104039874.1122413,-260196790.34599638,-22208823.877385423,,,,,SHORT_TERM_SELL,-1006412.0,-11158605.0,210145837.0,-27601471.0,-3213480.0,26.817081010132892,-1.7695899078429425,26.000110248095183,-2.4507558220703745,0,,,,,-4970814.0,0.0,-7670308.0,0.0,0,3,-5420548.0,UNKNOWN,2026-09-15T08:30:17.526921+00:00,-1006412.0,-11158605.0,210145837.0,-27601471.0,-3213480.0,-51.836498023532904,,,,,False,TSE,GOOD,False,主動凱基台灣,UNKNOWN,-2.5236593059936974,-4.825462012320337,-5.272545629034497,-6.05295802992657,-5.004996712798915,TSE_COMMONSTOCK,1082,9.27,1329,ETF,TWSE_ISIN_C_PUBLIC,TWSE_T86,00407A,主動凱基台灣,00407A,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-09-15,institutional_features_v2,False,True,False,True,10.150671186490422,GOOD,0,1,-483820.0,2012190.0,-308805.0,8581145.0,764185.0,False,BUY_WITH_PRICE_DOWN,BUY_WITH_PRICE_DOWN,FLOW_PRICE_DIVERGENCE,FLOW_PRICE_DIVERGENCE,,,,,0,0,-6000.0,-10000.0,0.0,47.0,0.0,-8000.0,0.0,,,,,10.398196068181415,37084885.52587517,3566473.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,1695310.0,10.49684195074473,114737305.4689079,10930650.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,2409252.0,10.331067233634917,19211879.91114663,1859622.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,1103437.0,DECELERATING,BELOW_20D_COST,19615490.67035591,-3134578.015744175,89949947.26652966,-5698911.250056572,7946165.41983238,,,,,SHORT_TERM_SELL,1871163.0,-308805.0,8521398.0,-559249.0,756185.0,25.18213124038905,9.473301279166355,24.85268450703338,9.28235604175891,0,,,,,-131027.0,0.0,-59794.0,0.0,0,1,-358793.0,UNKNOWN,2026-09-15T08:30:17.526921+00:00,1871163.0,-308805.0,8521398.0,-559249.0,756185.0,-56.6454616493688,,,,,False,TSE,GOOD,False,主動第一金優股息,UNKNOWN,-2.1297192642788065,-3.0680728667305868,-2.7715967874783365,-3.685317475102934,-2.139829590065845,TSE_COMMONSTOCK,1082,10.11,1329,ETF,TWSE_ISIN_C_PUBLIC,TWSE_T86,00408A,主動第一金優股息,00408A,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-09-15,institutional_features_v2,False,True,False,True,11.516500152481806,GOOD,2,0,8409117.0,-10064233.0,240647.0,-22512380.0,-827558.0,False,SELL_WITH_PRICE_UP,SELL_WITH_PRICE_DOWN,FLOW_PRICE_DIVERGENCE,NONE,,,,,0,3,341830.0,-3057770.0,-1650600.0,-6689330.0,-3111100.0,-1357970.0,-33.446706848915355,,,,,12.11037861055988,29490927.564105988,2435178.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,17609069.0,12.044750988673519,55710201.315879986,4625268.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,36841052.0,12.11037861055988,29490927.564105988,2435178.0,POSITIVE_DAILY_NET_FLOW_WEIGHTED_AVG_PRICE,4620706.0,DECELERATING,BELOW_20D_COST,-182860856.0968216,-16237723.93949218,-389600799.0435486,-29620023.58457593,-24826097.632294845,,,,,PERSISTENT_SELL,-15173891.0,-1409953.0,-32215784.0,-2553362.0,-2185528.0,-20.161917410328975,-7.283518922332257,-19.91276252714381,-7.5719524615667275,0,,,,,-2051888.0,0.0,-3014074.0,0.0,0,4,10802835.0,UNKNOWN,2026-09-15T08:30:17.526921+00:00,-15173891.0,-1409953.0,-32215784.0,-2553362.0,-2185528.0,-28.570389350386982,,,,,False,TSE,GOOD,False,主動永豐科技趨勢,UNKNOWN,1.9642857142857295,-5.228215767634858,-5.700718637796276,-5.1869149412969495,-5.700718637796276,TSE_COMMONSTOCK,1082,11.42,1329,ETF,TWSE_ISIN_C_PUBLIC,TWSE_T86,00410A,主動永豐科技趨勢,00410A,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
