sector,sector_kind,sector_id,membership_source,as_of,member_count,expected_member_count,present_ratio,valid_change_count,advancers,decliners,unchanged,advance_ratio,mean_change_pct,relative_to_market_pct,strength_state,relative_strength_label,leader_symbols,recall_leader_symbols,recall_eligible,recall_reasons,status,data_quality,leader1_symbol,leader2_symbol,leader1_5m_return,leader2_5m_return,leader1_15m_return,leader2_15m_return,leader1_vs_market,leader2_vs_market,leader_alignment,leader_return_source,leader_health_quality,leader_health_reason,leader1_distance_from_high,leader2_distance_from_high,sector_breadth_pct
27,OFFICIAL_INDUSTRY,OFFICIAL_INDUSTRY:27,TWSE_T187AP03_L,2026-09-21T13:15:05+08:00,46,,,46,27,16,3,0.586957,1.812609,0.812609,POSITIVE,OUTPERFORM,3062|3380|2419,3062|3380|2419,True,,GOOD,GOOD,3062,3380,,,,,8.98,8.95,BOTH_STRONG,SNAPSHOT_RETURN,GOOD,,,,58.6957
26,OFFICIAL_INDUSTRY,OFFICIAL_INDUSTRY:26,TWSE_T187AP03_L,2026-09-21T13:15:05+08:00,68,,,68,41,26,1,0.602941,1.593235,0.593235,LEADING,OUTPERFORM,6443|4956|2406,6443|4956|2406,True,,GOOD,GOOD,6443,4956,,,,,9.0,8.98,BOTH_STRONG,SNAPSHOT_RETURN,GOOD,,,,60.2941
21,OFFICIAL_INDUSTRY,OFFICIAL_INDUSTRY:21,TWSE_T187AP03_L,2026-09-21T13:15:05+08:00,28,,,28,13,11,4,0.464286,1.192857,0.192857,MIXED,INLINE,1709|1710|4770,1709|1710|4770,False,ADVANCE_RATIO_BELOW_THRESHOLD,GOOD,GOOD,1709,1710,,,,,8.95,2.67,BOTH_STRONG,SNAPSHOT_RETURN,GOOD,,,,46.4286
24,OFFICIAL_INDUSTRY,OFFICIAL_INDUSTRY:24,TWSE_T187AP03_L,2026-09-21T13:15:05+08:00,91,,,91,45,43,3,0.494505,0.85022,-0.14978,MIXED,INLINE,8110|2363|3094,8110|2363|3094,False,ADVANCE_RATIO_BELOW_THRESHOLD|RELATIVE_RETURN_BELOW_THRESHOLD,GOOD,GOOD,8110,2363,,,,,8.92,8.87,BOTH_STRONG,SNAPSHOT_RETURN,GOOD,,,,49.4505
29,OFFICIAL_INDUSTRY,OFFICIAL_INDUSTRY:29,TWSE_T187AP03_L,2026-09-21T13:15:05+08:00,21,,,21,11,8,2,0.52381,0.779524,-0.220476,MIXED,INLINE,3055|3312|3036,3055|3312,False,ADVANCE_RATIO_BELOW_THRESHOLD|RELATIVE_RETURN_BELOW_THRESHOLD,GOOD,GOOD,3055,3312,,,,,8.94,5.07,BOTH_STRONG,SNAPSHOT_RETURN,GOOD,,,,52.381
25,OFFICIAL_INDUSTRY,OFFICIAL_INDUSTRY:25,TWSE_T187AP03_L,2026-09-21T13:15:05+08:00,63,,,63,39,20,4,0.619048,0.694127,-0.305873,MIXED,INLINE,6166|2376|2399,6166|2376|2399,False,RELATIVE_RETURN_BELOW_THRESHOLD,GOOD,GOOD,6166,2376,,,,,8.61,2.65,BOTH_STRONG,SNAPSHOT_RETURN,GOOD,,,,61.9048
28,OFFICIAL_INDUSTRY,OFFICIAL_INDUSTRY:28,TWSE_T187AP03_L,2026-09-21T13:15:05+08:00,103,,,103,55,39,9,0.533981,0.635146,-0.364854,MIXED,INLINE,3605|2308|2392,3605|2308|2392,False,ADVANCE_RATIO_BELOW_THRESHOLD|RELATIVE_RETURN_BELOW_THRESHOLD,GOOD,GOOD,3605,2308,,,,,8.74,7.07,BOTH_STRONG,SNAPSHOT_RETURN,GOOD,,,,53.3981
05,OFFICIAL_INDUSTRY,OFFICIAL_INDUSTRY:05,TWSE_T187AP03_L,2026-09-21T13:15:05+08:00,48,,,48,24,17,7,0.5,0.632083,-0.367917,MIXED,INLINE,1528|8996|2371,1528|8996|2371,False,ADVANCE_RATIO_BELOW_THRESHOLD|RELATIVE_RETURN_BELOW_THRESHOLD,GOOD,GOOD,1528,8996,,,,,8.96,3.9,BOTH_STRONG,SNAPSHOT_RETURN,GOOD,,,,50.0
08,OFFICIAL_INDUSTRY,OFFICIAL_INDUSTRY:08,TWSE_T187AP03_L,2026-09-21T13:15:05+08:00,5,,,5,4,1,0,0.8,0.576,-0.424,MIXED,INLINE,1802,1802,False,RELATIVE_RETURN_BELOW_THRESHOLD,GOOD,GOOD,1802,,,,,,1.04,,,SNAPSHOT_RETURN,,TWO_VALID_LEADERS_REQUIRED,,,80.0
17,OFFICIAL_INDUSTRY,OFFICIAL_INDUSTRY:17,TWSE_T187AP03_L,2026-09-21T13:15:05+08:00,31,,,31,14,15,2,0.451613,0.553226,-0.446774,MIXED,INLINE,2855|2883|6005,2855|2883|6005,False,ADVANCE_RATIO_BELOW_THRESHOLD|RELATIVE_RETURN_BELOW_THRESHOLD,GOOD,GOOD,2855,2883,,,,,6.69,2.18,BOTH_STRONG,SNAPSHOT_RETURN,GOOD,,,,45.1613
